repo_name,pac_tool,iac_tool
BrunoReboul/terraform-google-realtime-asset-monitor,opa,Terraform
Checkmarx/kics,opa,Terraform
CloudNativeGBB/cluster-baseline,opa,Terraform
GersonRS/modern-gitops-stack-module-metallb,opa,Terraform
GoogleCloudPlatform/cloud-foundation-toolkit,opa,Terraform
GoogleCloudPlatform/professional-services,opa,Terraform
Obmondo/kubeaid,opa,Terraform
armory/se-spinnaker-config,opa,Terraform
bacalhau-project/bacalhau,opa,Terraform
boxp/arch,opa,Terraform
bradmccoydev/tfval,opa,Terraform
carbonetes/brainiac,opa,Terraform
cds-snc/opa_checks,opa,Terraform
chef/automate,opa,Terraform
cloudposse/terraform-aws-components,opa,Terraform
cloudposse/terraform-spacelift-cloud-infrastructure-automation,opa,Terraform
concourse/ci,opa,Terraform
elastic/cloudbeat,opa,Terraform
google/gke-policy-automation,opa,Terraform
hatim-khan/abbey-starter-kit-quickstart,opa,Terraform
hongbo-miao/hongbomiao.com,opa,Terraform
intelops/genval,opa,Terraform
intelops/policyhub,opa,Terraform
kokoichi206/til,opa,Terraform
kubernetes/k8s.io,opa,Terraform
linkedin/openhouse,opa,Terraform
ministryofjustice/cloud-platform-environments,opa,Terraform
ministryofjustice/modernisation-platform,opa,Terraform
ministryofjustice/modernisation-platform-environments,opa,Terraform
monkslc/hyperpolyglot,opa,Terraform
mxab/nacp,opa,Terraform
n4vysh/n4vysh.dev,opa,Terraform
nonfx/starchitect-cloudguard,opa,Terraform
ollionorg/gcp-landing-zone,opa,Terraform
oracle-devrel/cd3-automation-toolkit,opa,Terraform
osinfra-io/datadog-organization-management,opa,Terraform
project-sunbird/sunbird-ed-installer,opa,Terraform
ratify-project/ratify,opa,Terraform
spacelift-io/terraform-starter,opa,Terraform
tenable/terrascan,opa,Terraform
ultra-supara/sisakulint,opa,Terraform
